GEM location ID,bus_id
L100000900582,way/688672711-765
L100000900585,way/209826798-765
L100000900586,way/655683221-765
L100000900587,way/386018740-765
L100000900588,way/655683221-765
L100000900589,way/631917408-765
L100000900590,way/386018740-765
L100000900591,way/315823978-765
L100000900592,way/311571096-765
L100000900593,way/386018740-765
L100000900594,way/688672798-765
L100000900595,IN215-765
L100000900596,IN218-765
L100000900597,way/342204888-765
L100000900598,way/492377703-765
L100000900599,way/1127651311-765
L100000900600,way/429459345-765
L100000900601,way/429459345-765
L100000900602,way/1001700959-765
L100000900603,way/355560316-765
L100000900604,way/688672711-765
L100000900605,IN642-765
L100000900606,way/1001700959-765
L100000900607,way/1001700959-765
L100000900608,way/1001700959-765
L100000900609,way/1001700959-765
L100000900610,IN473-765
L100000900611,IN473-765
L100000900612,way/149822703-400
L100000900613,way/688672711-765
L100000900614,way/1127651311-765
L100000900615,way/1127651311-765
L100000900616,way/1127651311-765
L100000900617,way/688672798-765
L100000900618,way/1127651311-765
L100000900619,way/1127651311-765
L100000900620,way/1127651311-765
L100000900621,IN642-765
L100000900622,way/688672798-765
L100000900624,way/688672711-765
L100000900625,IN798-765
L100000900626,IN803-765
L100000900627,IN803-765
L100000900628,IN806-765
L100000900629,way/425401901-765
L100000900630,IN218-765
L100000900631,way/1127651311-765
L100000900632,way/311571096-765
L100000900633,way/1127651311-765
L100000900635,way/209826798-765
L100000900636,way/209826798-765
L100000900637,IN473-765
L100000900638,way/360424761-765
L100000900639,IN473-765
L100000900640,way/386018740-765
L100000900641,way/360424761-765
L100000900642,way/360424761-765
L100000900643,IN486-765
L100000900644,IN486-765
L100000900645,IN486-765
L100000900646,IN486-765
L100000900647,IN486-765
L100000900648,way/360424761-765
L100000900650,way/429459345-765
L100000900651,way/453513742-765
L100000900652,way/655683221-765
L100000900653,IN218-765
L100000900654,way/688672711-765
L100000900655,way/492377703-765
L100000900656,way/429459345-765
L100000900657,way/492377703-765
L100000900658,IN642-765
L100000900659,way/209826798-765
L100000900660,way/315823978-765
L100000900661,way/315823978-765
L100000900662,way/453513742-765
L100000900663,IN803-765
L100000900664,way/655683221-765
L100000900665,IN529-765
L100000900666,way/429459345-765
L100000900667,way/1127651311-765
L100000900668,way/453513742-765
L100000900669,IN798-765
L100000900670,way/429459345-765
L100000900671,IN803-765
L100000900672,way/688672711-765
L100000900673,way/688672798-765
L100000900674,way/331275940-765
L100000900675,way/386018740-765
L100000900676,way/688672711-765
L100000900677,way/688672711-765
L100000900678,way/688672711-765
L100000900679,way/688672711-765
L100000900680,way/688672711-765
L100000900681,way/688672711-765
L100000900682,way/473902678-765
L100000900683,way/1127651311-765
L100000900684,way/293597835-765
L100000900685,way/408924420-765
L100000900686,way/408924420-765
L100000900687,way/688672711-765
L100000900688,way/331275940-765
L100000900689,way/1001700959-765
L100000900690,way/1127651311-765
L100000900691,way/1127651311-765
L100000900692,way/209826798-765
L100000900693,way/514344408-765
L100000900694,way/492377703-765
L100000900695,way/492377703-765
L100000900696,way/688672798-765
L100000900697,way/355560316-765
L100000900698,way/386018740-765
L100000900699,way/1078426593-765
L100000900700,way/1127651311-765
L100000900701,way/688672711-765
L100000900702,way/425401901-765
L100000900703,way/425401901-765
L100000900704,IN748-765
L100000917027,way/1001700959-765
L100000917029,way/1001700959-765
L100000917030,IN191-765
L100000917031,way/1127651311-765
L100000917032,way/688672798-765
L100000917033,IN798-765
L100000917034,way/1001700959-765
L100000917035,way/408924420-765
L100000917036,way/331275940-765
L100000917037,way/688672798-765
L100000917038,way/1001700959-765
L100000917039,way/355560316-765
L100000917040,IN659-765
L100000917041,way/429459345-765
L100000917042,way/355560316-765
L100000917043,way/355560316-765
L100000917044,way/425401901-765
L100000917045,way/1001700959-765
L100000917046,way/1078426593-765
L100000917047,IN659-765
